Gene1	Gene2	Pair type
UBL4A	YKT6	ME-scPGI
UBL4A	EEF1G	ME-scPGI
VAPB	YKT6	ME-scPGI
VPS28	WWP1	ME-scPGI
YKT6	NSF	ME-scPGI
TARS1	EEF1G	ME-scPGI
EXOSC5	EEF1G	ME-scPGI
CYREN	EEF1G	ME-scPGI
RARS1	EEF1G	ME-scPGI
TXNDC9	EEF1G	ME-scPGI
TSFM	EEF1G	ME-scPGI
PUM3	EEF1G	ME-scPGI
